ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
SKCG,medium_airport,Rafael Nu?ez International Airport,4,SA,CO,CO-BOL,Cartagena,SKCG,CTG,SKCG,CTG,"10.4424, -75.513"
SKCI,small_airport,Carimagua Airport,700,SA,CO,CO-MET,Puerto L?pez,SKCI,CCO,SKCI,CCO,"4.56417, -71.3364"
SKCL,medium_airport,Alfonso Bonilla Aragon International Airport,3162,SA,CO,CO-VAC,Cali,SKCL,CLO,SKCL,CLO,"3.54322, -76.3816"
SKCM,small_airport,Cimitarra Airport,740,SA,CO,CO-SAN,Cimitarra,SKCM,CIM,SKCM,CIM,"6.367484, -73.970658"
SKCN,small_airport,Cravo Norte Airport,341,SA,CO,CO-ARA,Cravo Norte,SKCN,RAV,SKCN,RAV,"6.316404, -70.21137"
SKCO,medium_airport,La Florida Airport,8,SA,CO,CO-NAR,Tumaco,SKCO,TCO,SKCO,TCO,"1.81442, -78.7492"
SKCP,small_airport,Cupica Airport,,SA,CO,CO-CHO,Bah?a Solano,SKCP,BHF,SKCP,,"6.694817, -77.493643"
SKCR,small_airport,Carur? Airport,820,SA,CO,CO-VAU,Carur?,SKCR,CUO,SKCR,CRU,"1.013822, -71.297343"
SKCU,medium_airport,Juan H White Airport,174,SA,CO,CO-ANT,Caucasia,SKCU,CAQ,SKCU,CAQ,"7.96847, -75.1985"
SKCV,medium_airport,Cove?as Airport,31,SA,CO,CO-SUC,Cove?as,SKCV,CVE,SKCV,CVE,"9.40092, -75.6913"
SKCZ,medium_airport,Las Brujas Airport,528,SA,CO,CO-SUC,Corozal,SKCZ,CZU,SKCZ,CZU,"9.33274, -75.2856"
SKEB,medium_airport,El Bagre Airport,180,SA,CO,CO-ANT,El Bagre,SKEB,EBG,SKEB,EBG,"7.59647, -74.8089"
SKEH,small_airport,El Charco Airport,25,SA,CO,CO-NAR,El Charco,SKEH,ECR,SKEH,ECR,"2.44944444444, -78.0941666667"
SKEJ,medium_airport,Yarigu?es Airport,412,SA,CO,CO-SAN,Barrancabermeja,SKEJ,EJA,SKEJ,EJA,"7.02433, -73.8068"
SKFL,medium_airport,Gustavo Artunduaga Paredes Airport,803,SA,CO,CO-CAQ,Florencia,SKFL,FLA,SKFL,FLA,"1.58919, -75.5644"
SKGA,small_airport,La Gaviota Airport,591,SA,CO,CO-VID,,SKGA,LGT,SKGA,,"4.550543, -70.925353"
SKGI,medium_airport,Santiago Vila Airport,900,SA,CO,CO-CUN,Girardot,SKGI,GIR,SKGI,GIR,"4.27624, -74.7967"
SKGO,medium_airport,Santa Ana Airport,2979,SA,CO,CO-VAC,Cartago,SKGO,CRC,SKGO,CRC,"4.75818, -75.9557"
SKGP,medium_airport,Juan Casiano Airport,164,SA,CO,CO-CAU,Guapi,SKGP,GPI,SKGP,GPI,"2.57013, -77.897969"
SKHA,small_airport,General Navas Pardo Airport,2730,SA,CO,CO-TOL,Chaparral,SKHA,CPL,SKHA,CPL,"3.724293, -75.465785"
SKHC,small_airport,Hato Corozal Airport,820,NA,CO,CO-CAS,Hato Corozal,SKHC,HTZ,SKHC,HTZ,"6.153311, -71.761969"
SKIB,medium_airport,Perales Airport,2999,SA,CO,CO-TOL,Ibagu?,SKIB,IBE,SKIB,IBE,"4.42161, -75.1333"
SKIG,small_airport,Jaime Ortiz Betancourt Airport,110,SA,CO,CO-ANT,Chigorod?,SKIG,IGO,SKIG,IGO,"7.677606, -76.683165"
SKIM,small_airport,La Primavera Airport,390,SA,CO,CO-VID,La Primavera,SKIM,LPE,SKIM,PIM,"5.4776, -70.4212"
SKIP,medium_airport,San Luis Airport,9765,SA,CO,CO-NAR,Ipiales,SKIP,IPI,SKIP,IPI,"0.861946, -77.671783"
SKJU,small_airport,Jurad? Airport,33,NA,CO,CO-CHO,Jurad?,SKJU,JUO,SKJU,JUR,"7.07181, -77.727117"
SKLC,medium_airport,Antonio Rold?n Betancur Airport,46,SA,CO,CO-ANT,Carepa,SKLC,APO,SKLC,APO,"7.81196, -76.7164"
SKLG,small_airport,Caucaya Airport,573,SA,CO,CO-PUT,Puerto Legu?zamo,SKLG,LQM,SKLG,LQM,"-0.182278, -74.7708"
SKLM,medium_airport,Jorge Isaac Airport,281,SA,CO,CO-LAG,La Mina-Maicao,SKLM,MCJ,SKLM,LMA,"11.2325, -72.4901"
SKLP,small_airport,La Pedrera Airport,590,SA,CO,CO-AMA,La Pedrera,SKLP,LPD,SKLP,LPD,"-1.324882, -69.581294"
SKLT,medium_airport,Alfredo V?squez Cobo International Airport,277,SA,CO,CO-AMA,Leticia,SKLT,LET,SKLT,LET,"-4.19355, -69.9432"
SKMB,small_airport,Timbiqui Airport,145,SA,CO,CO-CAU,Timbiqui,SKMB,TBD,SKMB,TBD,"2.778569, -77.668045"
SKMD,medium_airport,Enrique Olaya Herrera Airport,4949,SA,CO,CO-ANT,Medell?n,SKMD,EOH,SKMD,EOH,"6.219686, -75.590597"
SKMF,small_airport,Miraflores Airport,730,SA,CO,CO-GUV,Miraflores,SKMF,MFS,SKMF,MFS,"1.35, -71.9444"
